technique,rmse_mean,rmse_std,model_size,runtime,detection
LASSO,0.13099301707800004,0.08917940915418272,4.373983739837398,0.005022477328292723,0.959349593495935
ELASTICNET,0.13892001254251438,0.08701781828101945,7.065040650406504,0.0032893254504940375,0.959349593495935
BMA_nnls,0.05192053681732531,0.028105450489263897,2.772357723577236,0.0486576750995667,0.8861788617886179
BMA_lasso,0.053841318691565485,0.020604164875544943,2.073170731707317,0.6011543428994776,0.7398373983739838
BMA_elasticnet,0.05252466698402855,0.018317329589863648,2.186991869918699,0.6167932758486367,0.7479674796747967
BMAquad_nnls,0.2742953719712619,0.143803955829259,3.138211382113821,0.07601028923096696,0.8455284552845529
BMAquad_lasso,0.24522537014835444,0.1918676837754669,2.430894308943089,0.6928093801668989,0.5203252032520326
BMAquad_elasticnet,0.26955523738355924,0.12731874838953072,2.3008130081300813,0.6402954783866076,0.3333333333333333
Depth First Search - NNLS,0.03627295581950513,0.014760699326583485,2.2195121951219514,1.093875177507478,0.926829268292683
Breadth First Search - NNLS,0.06717759798423412,0.02790757524134207,2.894308943089431,4.039871401903106,0.3252032520325203
Depth First Search - LASSO,0.08680905230269807,0.07371380053541203,2.089430894308943,1.0946110147770827,0.926829268292683
Breadth First Search - LASSO,0.6269615971477781,0.780962520458361,3.1463414634146343,4.018018780685052,0.3252032520325203
Depth First Search - Elasticnet,0.08570515790222699,0.07264837871716046,2.186991869918699,1.0771897517568696,0.926829268292683
Breadth First Search - Elasticnet,0.25147957801915427,0.17590795424498776,2.7560975609756095,3.964324695308034,0.3252032520325203
